年,月,日,内容
2022,10,15日,<a href="https://www.nicovideo.jp/watch/sm41182284" target="_blank" rel="noopener noreferrer">かくとえん｜第三回原石祭</a>にて、<a href="https://www.nicovideo.jp/watch/sm41182284" target="_blank" rel="noopener noreferrer">第三回ソフトウェアトーク原石祭紹介動画ピックアップ</a>選出
2022,10,16日,フォロワー数700人突破(ニコニコ動画)
2022,12,1日,<a href="https://twitter.com/404_YD/status/1598246764070334464" target="_blank" rel="noopener noreferrer">ニコニコ動画アワード</a>第一投票掲載（最終選考には落選）
2022,12,28日,<a href="https://space.bilibili.com/3493112060053794" target="_blank" rel="noopener noreferrer">bilibili</a>開設
2023,1,1日,フォロワー数777人突破(ニコニコ動画)
2023,1,4日,フォロワー数300人突破(Twitter)
2023,1,19日,セイカさんが家にやってくる（VOICEROID+EX版）
2023,1,24日,フォロワー数800人突破(ニコニコ動画)
2023,2,2日,<a href="https://note.com/404_yd" target="_blank" rel="noopener noreferrer">note</a>開設
2023,2,10日,<a href="https://www.nicovideo.jp/watch/sm41694977" target="_blank" rel="noopener noreferrer">実写合成の影の付け方｜AviUtl解説</a>が、ニコニコトップページに掲載される
2023,2,16日,フォロワー数900人突破(ニコニコ動画)
2023,3,1日,<a href="https://misskey.io/@404_YD" target="_blank" rel="noopener noreferrer">Misskey</a>開設
2023,4,3日,<a href="https://voskey.icalo.net/@404_YD" target="_blank" rel="noopener noreferrer">ぼすきー</a>開設
2023,4,28日,週一投稿終了
2023,5,24日,ノートパソコン（Lenovo IdeaPad Flex 5）　破損・デスクトップ化
2023,8,5日,フォロワー数1000人突破(ニコニコ動画)
2023,8,21日,初めて男の娘コンカフェに行き、脳が破壊される
2023,10,13日,<a href="https://yd404.github.io/tsukuyomi/" target="_blank" rel="noopener noreferrer">月読村行政ホームページ</a>作成
2023,10,29日,20歳
2023,11,6日,<a href="https://twitter.com/404_YD/status/1721517322220052588/video/1" target="_blank" rel="noopener noreferrer">GoogleHome</a>買う
2023,11,10日,<a href="https://twitter.com/404_YD/status/1722889170891456931/photo/1" target="_blank" rel="noopener noreferrer">月読アイ</a>が家に来る
2024,1,1日,フォロワー数400人突破(Twitter)※botが何人いるのかわからないので推定
2024,1,5日,<a href="https://www.nicovideo.jp/watch/sm40952606" target="_blank" rel="noopener noreferrer">ゆかりさんときりたん達｜実ソ祭・ひじき祭</a>　にて初の1万再生を突破
2024,2,15日,大井競馬場にて、<a href="https://x.com/404_YD/status/1757950383639642462?s=20" target="_blank" rel="noopener noreferrer">割烹着ゆかりさん</a>の生存を確認する
2024,2,25日,ノートパソコン（Let's note CF-SZ6）　使用開始
2024,3,16日,<a href="https://pachicalmirai.wixsite.com/my-site" target="_blank" rel="noopener noreferrer">よかろいど福岡</a>にて、<a href="https://x.com/404_YD/status/1768824314672095569" target="_blank" rel="noopener noreferrer">初サークル参加</a>
2024,4,4日,フォロワー数1100人突破(ニコニコ動画)
